Name,Type,Level/Cost,Power,Health,Trait,Effect,Blitz
Dreadbound Elf,Unit,1,1,1,,On Play - Discover 2: Darkness card. ,
Dark Necromancer,Unit,1,1,2,,"On Play - This turn, the next time you Open an allied Unit, reduce the cost by 2. ",
Shadow Raven,Unit,2,2,2,,On Play - Gain Regeneration.,
Death Gryffon,Unit,4,4,3,,On Play - Gain Regeneration.,
Fatal Strike,Instant,3,,,,"[Quick] This turn, give an opposing non-Attacking Unit -2/-2.",
Midnight Succubus,Unit,3,3,2,,[Rush],
Necromancy,Instant,2,,,,Summon a Unit from your Trash in Reverse.,
Soulfire Nekomata,Unit,2,2,2,,"When this Unit is Summoned from Reverse, give it Rush.",
Hellbound Demon,Unit,5,4,5,,[Breakthrough 2],
"Mors, Endless Wrath",Unit,6,4,5,,"[Regeneration]n/When this Unit is Opened, give an opposing Unit -2/-2 this turn.",
Malevolent Hex,Instant,4,,,,Give an opposing Unit -4/-4 this turn.,
Hellish Revival,Instant,2,,,,Open an allied Reversed Unit. Reverse it at the end of the turn.,
Cursed Specter,Unit,1,1,2,,On Play - [Destroy another allied Unit] Give an allied Unit Regeneration.,
