Name,Type,Level,Power,Boost,Trait,Effect,Awakened Effect
"Goddess of Hope, Inut",Unit,4,5000,1000,Humanoid,On Play/On Attack - Send the top card of your deck to your Damage Zone then add a faceup card in your Damage Zone to your hand.,Send a card from your Damage Zone to Discard Zone then send the top of your deck to your Damage Zone.
Armed Seraph,Unit,1,3000,0,Angel,,
Bladed Sister,Unit,2,4000,0,Humanoid,,
Exorbant Angel,Unit,3,5000,0,Angel,,
Divine Priestess,Unit,1,1000,2000,Humanoid,"If your Boost with this card from your hand during your opponent's turn, it gains +1000 Boost for each card you have in your Damage Zone more than your opponent.",
Spring Caller,Unit,1,2000,1000,Humanoid,On Play - Draw a card then shuffle a card from your hand into your deck.,Draw a card if you have 2 or less cards in your hand.
Rejuvenate,Instant,1,,1000,,Send the top card of your deck to your Damage Zone then shuffle a card from your Damage Zone into your deck.,
Valkyrie of Salvation ,Unit,6,6000,1000,Angel,"On Play - If you have more cards in your Damage Zone than your opponent, send a card from your Damage Zone to the Discard Zone. If you have 5 or more cards in your Damage Zone, send a card from your Damage Zone to the top of your deck instead then shuffle your deck at the end of your turn.",Flip a card in your Damage Zone faceup.
Masochistic Sister,Unit,2,1000,0,Humanoid,"Cont - During your turn, this card gains +1000 Power for each card in your Damage Zone.",Give target allied Follower +1000 Power for this turn if a card was sent to your Damage Zone this turn.
Elven Caretaker,Unit,2,5000,1000,Humanoid,On Play - Add a faceup card from your Damage Zone to your hand then send a card from your hand to your Damage Zone.,
Fledgling Seraph,Unit,1,2000,1000,Angel,On Play - Add a faceup card from your Damage Zone to your hand then send a card from your hand to your Damage Zone.,
Dragonic Singer,Unit,3,4000,1000,Humanoid,Barrier.,Give target allied Follower Barrier.
Holy Flare,Instant,2,,1000,,Banish target opposing 4-cost or lower Follower.,
Guardian Angel,Unit,2,3000,1000,Angel,(Damage Zone) Cont - This card gains +500 Boost.,
