Name,Type,Level,Power,Boost,Trait,Effect,Awakened Effect
"Buster Dragon, Agni",Unit,4,7000,1000,War Dragon,"On Play/On Attack - Give an allied Follower or Ruler +1 Critical Check for the turn. Trigger - When you get a Critical, give an allied Follower or Ruler +1000 Power for the turn.",Give an allied Follower or Ruler +1 Critical Check for the turn.
Armored Dragon,Unit,1,5000,0,War Dragon,,
Crimson Warrior,Unit,2,6000,0,,,
Lightning Wyvern,Unit,3,7000,0,Thunder Dragon,,
Warring Hound,Unit,1,1000,2000,Beast,"If your Guard with this card from your hand, it gains +1000 Boost for each card you have in your Damage Zone more than than your opponent.",
Feral Raze,Instant,2,,1000,,"Destroy opposing Followers whose total Power is equal to or less than 10000. If you have more damage than your opponent, destroy opposing Followers whose total Power is equal to or less than 12000 instead.",
Impish Dragoness,Unit,2,4000,500,Dragonkin,Haste.,"This turn, an allied Follower or Ruler gains +1000 Power."
Dragon Rider,Unit,2,5000,500,Humanoid,Cont - This Follower gains +1 Critical Check.,"This turn, an allied Follower or Ruler gains +1000 Power."
Chaos Magus,Unit,2,5000,1000,,"On Play - If you have 5 or less damage, you can add a card from your hand to your damage. If you do, this turn, give an opposing Unit -7000 Power.",
Rampaging Ogre,Unit,3,6000,1000,Demon,Indomitable,
Ironforged Dragoon,Unit,3,6000,1000,Dragonkin,Cont - This Follower gains +1 Critical Check.,
Ignis Spirit,Unit,1,4000,1000,Spirit,"On Play - This turn, give an opposing Follower -3000 Power. ","This turn, give an opposing Follower -3000 Power. "
Sorceror of Storms,Unit,4,7000,1000,Humanoid,On Play/On Attack - Destroy an opposing Follower with 5000 or less Power.,Destroy an opposing Follower with 5000 or less Power.
Dragonic Spirit,Instant,1,,1000,,"Give an allied Follower Indomitable and ""On Attack - This turn, gain +1000 Power"" until the start of your next turn.",
Fire Lizard,Unit,1,4000,1000,Beast,On Play - Draw a card then shuffle a card from your hand into your deck.,Draw a card if you have 2 or less cards in your hand.
Wicked Oni,Unit,3,6000,500,,"Check Zone - During your turn, this card is treated as a Critical.",
