Name,Type,Level/Cost,HP,AP,Trait,Effect,Blitz
Petal Maiden,Unit,1,1000,,,On Play - Summon a Seedling Token.,
Bountiful Harvest,Instant,2,,,,[Destroy an allied Seedling Token] Increase your max Mana by 1.,
Bird of Paradise,Unit,1,500,,,"[Bloom]n/On Play - If this Unit Bloomed, Draw 1.",
"Roselia, Blooming Reaper",Unit,6,6000,,,"[Bloom]n/On Destroy - If this Unit Bloomed, at the end of the turn, Summon this card.",
Fairy Dragon,Unit,4,3000,,,"[Bloom]n/On Play - If this Unit Bloomed, Active this Unit.",
Forest Elemental,Unit,3,3000,,,On Play - Summon a Seedling Token.n/On Destroy - Summon a Seedling Token.,
Thornscaled Slayer,Unit,2,2000,,,"Bloom.n/On Attack - If this Unit Bloomed, gain +1000 Power this turn.",
Petal Parade,Instant,1,,,,Summon 2 Seedling Tokens.,
Petal Paladin,Unit,2,2000,,,"Bloom.n/On Block - If this Unit Bloomed, gain +500 Power this turn.",
Maiden of Thorns,Unit,5,4500,,,[Bloom]n/On Attack - All allied Bloomed Units in this Zone gains +1000 this turn.,
Primal Beast,Unit,7,7000,,,[Bloom]n/On Attack - All allied Bloomed Units in this Zone gains Breakthrough this turn.,
Woodland Fang,Unit,4,3500,,,[Breakthrough],
Sylvan Sage,Unit,5,3000,,,On Play - Increase your max Mana by 1.,
Floral Artisan,Unit,3,3000,,,"[Bloom]n/On Attack - If this Unit Bloomed, Summon a Seedling Token.",
