Name,Type,Size,Power,Boost,Trait,Effect,Other
"Yggdrasil Maiden, Elaine",Unit,1,1000,2000,Royal Paladin ,On Play/On Link - Shuffle up to 2 cards from your Trash into your deck. ,
Margal,Unit,1,2000,1000,Royal Paladin / High Beast,"On Play / On Link - If you summoned a Unit from your deck this turn, [EB1] draw 1.",
Flogal,Unit,1,2000,1000,Royal Paladin / High Beast,On Play / On Link - [EB1] Give another allied Unit Vigilance this turn.,
"Lake Maiden, Lien",Unit,1,2000,1000,Royal Paladin,On Play - Draw 1. Discard 1.,
Wingal,Unit,2,3000,1000,Royal Paladin / High Beast,This card in the Link Zone can be treated as Level 0 when an allied Blaster Blade Link Attacks.n/On Play - [EB1] Search for a Blaster Blade and add it to your hand.,
"Little Sage, Marron",Unit,2,3000,1000,Royal Paladin,[Power Attacker +1000],
"Flash Shield, Iseult",Unit,2,2000,2000,Royal Paladin,Counter - [EB1 & Discard 1] This card gains +2000 Counter.,
Pongal,Unit,2,3000,1000,Royal Paladin / High Beast,[Flux],
"Future Knight, Llew",Unit,2,3000,1000,Royal Paladin / Soldier,"On Play / On Link - Give another allied Unit +1000 Power this turn and if that Unit is Blaster Blade, give it Breakthrough this turn.",
"High Dog Breeder, Akane",Unit,3,4000,1000,Royal Paladin / Tamer,On Play - Discover 5: Choose 1:n/1) Place a <High Beast> into your Link Zone.n/2) [EB1] Summon a <High Beast>.,
Blaster Blade,Unit,3,4000,1000,Royal Paladin / Soldier,On Play - [EB1] Deal 3000 damage to an opposing Unit.n/On Link -  Deal 1000 damage to an opposing Unit. [EB1] Increase this damage by +1000 for each of this attack's Linkage.,
"Knight of Silence, Gallatin",Unit,3,4000,1000,Royal Paladin / Soldier,[Power Attacker +1000],
"Solitary Knight, Gancelot",Unit,4,5000,,Royal Paladin / Soldier,"Soul Ascent - Blaster Blade.n/On Attack - [EB1] If Blaster Blade is in this card's Soul, give this Unit +1000 Power and <b>Double Breaker</b> until the start of your next turn.",
Soul Saver Dragon,Unit,4,5000,1000,Royal Paladin / Dragon,On Attack - Give X allied targets +1000 Power this turn. X equals this attack's Linkage. ,
