Name,Type,Cost,Power,Health,Trait,Effect,Other
Dragon Fire,Instant,1,,,,[Brave][Quick]n/Deal 2 damage to an opposing Unit. Bloodlust 1: Deal 3 damage instead.,
Wicked Succubus,Unit,1,1,1,Demon,Deal 1 damage to both Leaders.,
Blade Reaver,Unit,1,1,1,Humanoid,Haste.,
Grim Axebearer,Unit,5,4,4,Dragonkin,On Play - Deal 4 damage to an opposing Unit.,
Dragonic Warrior,Unit,4,4,3,Dragon,On Attack - Deal 2 damage to the opposing Leader.,
Feral Raze,Instant,3,,,,[Brave][Quick]n/ Deal 5 damage to an opponsing Unit. Bloodlust 1: Draw 1.,
Impish Dragoness,Unit,2,2,1,Dragonkin,[Brave],
Dragon Rider,Unit,2,2,3,Humanoid/Dragon,On Play - Bloodlust 2: Deal 2 damage to an opposing Unit.,
"Unchained Beast, Vajra",Unit,6,5,4,Humanoid,On Play - Choose 1. [Brave](3) Choose both instead:n/1) Gain Haste.n/2) Deal 3 damage to all opposing Units with Blocker.,
Rampaging Ogre,Unit,3,3,2,Demon,Haste. This Unit must attack if able.,
Ironforged Dragoon,Unit,3,3,3,Dragonkin,On Play - [Brave](2) Gain +0/+2 and deal 1 damage to the opposing Leader.n/Bloodlust 2: This Unit has Haste and Targeted Strike. ,
Ignis Spirit,Unit,2,1,2,Spirit,On Play - Give another allied Unit +2/+0.,
