Name,Type,Cost,Power,Health,Trait,Effect,Other
Dragon Fire,Instant,1,,,,[Overcast][Quick]n/Deal 2 damage to an opposing Unit. Fury: Deal 3 damage instead.,
Wicked Succubus,Unit,1,2,1,Demon,On Play - Add an Inner Rage Token to your hand.,
Blade Reaver,Unit,1,1,1,Humanoid,[Blitz],
Grim Axebearer,Unit,5,4,4,Dragonkin,On Play -  Deal 2 damage to your Leader. Deal 4 damage to an opposing Unit.,
Dragonic Warrior,Unit,4,3,3,Dragon,[Rush]n/On Attack - Fury: Gain +1/+1.,
Feral Raze,Instant,3,,,,[Overcast][Quick]n/Deal 5 damage to an opposing Unit. Fury: Draw 1.,
Impish Dragoness,Unit,2,2,2,Dragonkin,[Overcast],
Dragon Rider,Unit,2,2,3,Humanoid/Dragon,On Play - Deal 1 damage to an opposing Unit. Fury: Deal 2 damage instead.,
"Unchained Beast, Vajra",Unit,6,5,4,Humanoid,"[Blitz]n/On Attack - If you have 10 or less Life, target opposing Unit cannot block during the next Block Step.",
Frenzied Bandit,Unit,3,3,3,Demon,"On Play - Fury: Draw 1.n/On Play - If you have 10 or less Life, Draw 1. ",
Ironforged Dragoon,Unit,3,3,3,Dragonkin,"On Play - If your Leader took damage this turn, this Unit gains Blitz.",
Ignis Spirit,Unit,2,2,3,Spirit,On Attack - Add an Inner Rage Token to your hand.,
Demonic Mistress,Unit,5,3,3,Demon,"On Play - Add 2 Rage Tokens to your hand and if you have 10 or less Life, recover 2 Mana.n/When your Leader takes damage by an allied effect, deal 2 damage to an opposing Unit or Leader.",
Howling Fangs,Instant,2,,,,"[Overcast][Quick]n/Deal 3 damage to an opposing Unit. If you have 10 or less Life, heal 2 to your Leader.",
