Name,Type,Cost,Power,Health,Trait,Effect,Blitz
Airy Jester,Unit,1,2,2,,On Play - Flow: Add a Falcon Token to your hand.,
Fox Strider,Unit,1,1,2,,[Haste],
Hunting Call,Instant,1,,,,Add 2 Falcon Tokens to your hand.,
Iron Stag,Unit,1,1,2,,On Play - Flow: Gain +1/+1.,
Moonlit Kunoichi,Unit,1,2,1,,[Shroud],
Wind Sailing,Instant,1,,,,Move an allied Unit to the other Zone.,
Nimble Shinobi,Unit,2,2,1,,[Shroud]n/On Attack - Add a Falcon Token to your hand.,
Tempest Fighter,Unit,2,3,2,,On Play - Flow: Charge 1.,
Slipstream Rodent,Unit,2,1,2,,On Play - Add 2 Falcon Tokens to your hand.,
River Dancer,Unit,2,2,2,,[Rush],
Arrow Storm,Instant,2,,,,Deal 1 damage to all opposing Units in a Zone. Flow: Draw 1.,
Woodland Fang,Unit,3,3,3,,On Play - Flow: Gain Haste and a Free Action.,
Whirlwind Shinobi,Unit,4,3,2,,[Shroud]n/Other allied Units in this Zone with Shroud have Veil.,
Winged Nobleman,Unit,4,2,3,,[Rush]n/On Play - Add 2 Falcon Tokens to your hand. The next Avian Token you play this turn has -1 cost.,
Verdant Ranger,Unit,5,4,4,,[Rush]n/On Attack - Charge 1. Flow - Charge 2 instead.,
One with the Wind,Permanent,2,,,,"Durability 4.n/When an allied Unit moves or when you play an Avian token to this Zone, [exhaust this card] gain a free action.",
Castaway,Instant,2,,,,"Recall an opposing 2-cost or lower Unit. If this is a Free Action, recall an opposing 3-cost or lower Unit instead.",
